category,brand,model,status,brand_id,matched_slug,image_count,note
2w,Honda Motorcycle & Scooter India,CBR1000RR-R Fireblade,scraped_exact,honda-hmsi,cbr1000rr-r-fireblade,1,
2w,Honda Motorcycle & Scooter India,CBR650R,scraped_exact,honda-hmsi,cbr650r,2,
2w,Honda Motorcycle & Scooter India,Dio,scraped_exact,honda-hmsi,dio,5,
2w,Honda Motorcycle & Scooter India,Dio 125,scraped_exact,honda-hmsi,dio-125,7,
2w,Honda Motorcycle & Scooter India,Goldwing Tour,scraped_exact,honda-hmsi,goldwing-tour,1,
2w,Honda Motorcycle & Scooter India,Hness CB350,scraped_exact,honda-hmsi,hness-cb350,8,
2w,Honda Motorcycle & Scooter India,Hornet 2.0,scraped_exact,honda-hmsi,hornet,4,
2w,Honda Motorcycle & Scooter India,Livo,scraped_exact,honda-hmsi,livo,3,
2w,Honda Motorcycle & Scooter India,NX200,scraped_exact,honda-hmsi,nx200,3,
2w,Honda Motorcycle & Scooter India,NX500,scraped_exact,honda-hmsi,nx500,3,
2w,Honda Motorcycle & Scooter India,QC1,scraped_exact,honda-hmsi,qc1,5,
2w,Honda Motorcycle & Scooter India,Shine,scraped_exact,honda-hmsi,shine,7,
2w,Honda Motorcycle & Scooter India,Shine 100,scraped_exact,honda-hmsi,shine-100,9,
2w,Honda Motorcycle & Scooter India,SP 125,scraped_exact,honda-hmsi,sp-125,7,
2w,Honda Motorcycle & Scooter India,SP160,scraped_exact,honda-hmsi,sp160,4,
2w,Honda Motorcycle & Scooter India,Transalp XL750,scraped_exact,honda-hmsi,transalp-xl750,2,
2w,Honda Motorcycle & Scooter India,Unicorn,scraped_exact,honda-hmsi,unicorn,3,
2w,Honda Motorcycle & Scooter India,X-ADV 750,scraped_exact,honda-hmsi,x-adv,2,
2w,Hop Electric,Leo,scraped_exact,hop-electric,leo,5,
2w,Hop Electric,OXO,scraped_exact,hop-electric,oxo,5,
2w,Husqvarna India,Svartpilen 401,scraped_exact,husqvarna-india,svartpilen-401,1,
2w,Husqvarna India,Vitpilen 250,scraped_exact,husqvarna-india,vitpilen-250,1,
2w,Indian Motorcycle,101 Scout,scraped_exact,indian-motorcycle,101-scout,2,
2w,Indian Motorcycle,Scout Bobber,scraped_exact,indian-motorcycle,scout-bobber,1,
2w,Indian Motorcycle,Scout Classic,scraped_exact,indian-motorcycle,scout-classic,1,
2w,Indian Motorcycle,Sport Scout,scraped_exact,indian-motorcycle,sport-scout,1,
2w,Indian Motorcycle,Super Scout,scraped_exact,indian-motorcycle,super-scout,2,
2w,iVOOMi,Jeet X,scraped_exact,ivoomi,jeet-x,4,
2w,iVOOMi,S1,scraped_exact,ivoomi,s1,3,
2w,Jawa Motorcycles,Jawa 350,scraped_exact,jawa-motorcycles,350,8,
2w,Jawa Motorcycles,Jawa 42,scraped_exact,jawa-motorcycles,42,14,
2w,Jawa Motorcycles,Jawa 42 Bobber,scraped_exact,jawa-motorcycles,42-bobber,5,
2w,Jawa Motorcycles,Jawa 42 FJ,scraped_exact,jawa-motorcycles,42-fj,5,
2w,Joy e-bike,Gen Nxt,scraped_exact,joy-e-bike,gen-nxt,4,
2w,Joy e-bike,Glob,scraped_exact,joy-e-bike,glob,1,
2w,Joy e-bike,Mihos,scraped_exact,joy-e-bike,mihos,3,
2w,Joy e-bike,Wolf,scraped_exact,joy-e-bike,wolf,7,
2w,Kabira Mobility,Intercity FS,unavailable_on_source,kabira-mobility,,0,no confirmed BikeWale colour page
2w,Kabira Mobility,Intercity Neo,unavailable_on_source,kabira-mobility,,0,no confirmed BikeWale colour page
2w,Kabira Mobility,KM3000,unavailable_on_source,kabira-mobility,,0,no confirmed BikeWale colour page
2w,Kabira Mobility,KM4000,unavailable_on_source,kabira-mobility,,0,no confirmed BikeWale colour page
2w,Kabira Mobility,KM5000,unavailable_on_source,kabira-mobility,,0,no confirmed BikeWale colour page
2w,Kawasaki India,Eliminator,scraped_exact,kawasaki-india,eliminator,1,
2w,Kawasaki India,Ninja 1100SX,scraped_exact,kawasaki-india,ninja-1100sx,1,
2w,Kawasaki India,Ninja 300,scraped_exact,kawasaki-india,ninja-300,2,
2w,Kawasaki India,Ninja 500,scraped_exact,kawasaki-india,ninja-500,1,
2w,Kawasaki India,Ninja 650,scraped_exact,kawasaki-india,ninja-650,1,
2w,Kawasaki India,Ninja H2 SX SE,scraped_exact,kawasaki-india,ninja-h2-sx-se,1,
2w,Kawasaki India,Ninja ZX-10R,scraped_exact,kawasaki-india,ninja-zx-10r,2,
2w,Kawasaki India,Versys 650,scraped_exact,kawasaki-india,versys-650,1,
2w,Kawasaki India,Vulcan S,scraped_exact,kawasaki-india,vulcan-s,1,
2w,Kawasaki India,W175,scraped_exact,kawasaki-india,w175,6,
2w,Kawasaki India,Z H2,scraped_exact,kawasaki-india,z-h2,1,
2w,Kawasaki India,Z650,scraped_exact,kawasaki-india,z650,1,
2w,Kawasaki India,Z650RS,scraped_exact,kawasaki-india,z650rs,1,
2w,Kawasaki India,Z900,scraped_exact,kawasaki-india,z900,2,
2w,Keeway India,K-Light 250V,scraped_exact,keeway-india,k-light-250v,3,
2w,Keeway India,K300 SF,scraped_exact,keeway-india,k300-sf,3,
2w,Keeway India,RR300,scraped_exact,keeway-india,rr300,3,
2w,Keeway India,Sixties 300i,scraped_exact,keeway-india,sixties-300i,3,
2w,Keeway India,SR125,scraped_exact,keeway-india,sr125,3,
2w,Keeway India,SR250,scraped_exact,keeway-india,sr250,3,
2w,Keeway India,V302C,scraped_exact,keeway-india,v302c,3,
2w,Keeway India,Vieste 300,scraped_exact,keeway-india,vieste-300,3,
2w,Kinetic Green,DX,scraped_exact,kinetic-green,dx,5,
2w,Kinetic Green,E Luna,scraped_exact,kinetic-green,e-luna,5,
2w,Komaki,DT 3000,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,Flora,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,Ranger,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,SE,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,TN 95,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,Venice,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,X One,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,XGT CAT 2.0,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,XGT KM,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,Komaki,XGT X5,unavailable_on_source,komaki,,0,no confirmed BikeWale colour page
2w,KTM India,1390 Super Duke R,scraped_exact,ktm-india,1390-super-duke-r,1,
2w,KTM India,160 Duke,scraped_exact,ktm-india,160-duke,3,
2w,KTM India,200 Duke,scraped_exact,ktm-india,200-duke,4,
2w,KTM India,250 Adventure,scraped_exact,ktm-india,250-adventure,2,
2w,KTM India,250 Duke,scraped_exact,ktm-india,250-duke,2,
2w,KTM India,390 Adventure,scraped_exact,ktm-india,390-adventure,2,
2w,KTM India,390 Adventure R,scraped_exact,ktm-india,390-adventure-r,1,
2w,KTM India,390 Adventure X,scraped_exact,ktm-india,390-adventure-x,2,
2w,KTM India,390 Duke,scraped_exact,ktm-india,390-duke,3,
2w,KTM India,390 Enduro R,scraped_exact,ktm-india,390-enduro-r,1,
2w,KTM India,890 Duke R,scraped_exact,ktm-india,890-duke-r,1,
2w,KTM India,RC 160,scraped_exact,ktm-india,rc-160,3,
2w,KTM India,RC 200,scraped_exact,ktm-india,rc-200,4,
2w,KTM India,RC 390,scraped_exact,ktm-india,rc-390,3,
2w,Lectrix EV,LXS 2.0,scraped_exact,lectrix-ev,lxs-20,5,
2w,Lectrix EV,LXS 3.0,scraped_exact,lectrix-ev,lxs-30,5,
2w,Lectrix EV,NDuro,scraped_exact,lectrix-ev,nduro,4,
2w,Lectrix EV,SX25,scraped_exact,lectrix-ev,sx25,4,
2w,Lectrix EV,ZYRO,unavailable_on_source,lectrix-ev,,0,no confirmed BikeWale colour page
2w,Matter,Aera 5000,scraped_exact,matter,aera,5,
2w,Matter,Aera 5000+,scraped_exact,matter,aera,5,
2w,Moto Guzzi,V85 TT,scraped_exact,moto-guzzi,v85-tt,4,
2w,Moto Morini,Seiemmezzo,scraped_exact,moto-morini,seiemmezzo,6,
2w,Moto Morini,X-Cape,scraped_exact,moto-morini,x-cape,4,
